fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matricula,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
0,bus,0.957,1,1394,53,1918,476,,0.0,0,0,0,0,
0,car,0.845,2,1319,312,1401,370,,0.0,0,0,0,0,
0,car,0.554,3,1277,316,1322,344,,0.0,0,0,0,0,
0,car,0.549,4,1239,316,1279,344,,0.0,0,0,0,0,
1,bus,0.958,1,1392,56,1918,475,,0.0,0,0,0,0,
1,car,0.841,2,1319,312,1400,370,,0.0,0,0,0,0,
1,car,0.541,3,1275,317,1322,344,,0.0,0,0,0,0,
1,car,0.519,4,1237,316,1278,343,,0.0,0,0,0,0,
2,bus,0.956,1,1391,60,1918,473,,0.0,0,0,0,0,
2,car,0.833,2,1318,312,1398,369,,0.0,0,0,0,0,
2,car,0.519,3,1274,317,1322,344,,0.0,0,0,0,0,
2,car,0.493,4,1235,316,1277,343,,0.0,0,0,0,0,
2,person,0.67,5,974,294,1015,379,,0.0,0,0,0,0,
3,bus,0.954,1,1389,63,1918,470,,0.0,0,0,0,0,
3,car,0.839,2,1318,312,1397,369,,0.0,0,0,0,0,
3,car,0.486,3,1275,317,1322,344,,0.0,0,0,0,0,
3,car,0.554,4,1231,317,1276,343,,0.0,0,0,0,0,
3,person,0.631,5,974,295,1017,378,,0.0,0,0,0,0,
4,bus,0.954,1,1387,69,1918,467,,0.0,0,0,0,0,
4,car,0.833,2,1316,312,1394,369,,0.0,0,0,0,0,
4,car,0.461,3,1276,317,1322,344,,0.0,0,0,0,0,
4,car,0.578,4,1233,318,1277,344,,0.0,0,0,0,0,
4,person,0.533,5,975,295,1018,378,,0.0,0,0,0,0,
5,bus,0.953,1,1386,75,1918,465,,0.0,0,0,0,0,
5,car,0.843,2,1315,313,1393,369,,0.0,0,0,0,0,
5,car,0.531,4,1231,318,1277,343,,0.0,0,0,0,0,
5,person,0.636,5,976,294,1018,377,,0.0,0,0,0,0,
6,bus,0.953,1,1384,80,1919,463,,0.0,0,0,0,0,
6,car,0.852,2,1314,312,1391,368,,0.0,0,0,0,0,
6,car,0.51,4,1230,318,1276,344,,0.0,0,0,0,0,
6,person,0.663,5,976,294,1017,377,,0.0,0,0,0,0,
7,bus,0.951,1,1382,84,1919,462,,0.0,0,0,0,0,
7,car,0.844,2,1314,313,1390,368,,0.0,0,0,0,0,
7,car,0.535,4,1230,320,1275,345,,0.0,0,0,0,0,
7,person,0.428,5,981,297,1013,375,,0.0,0,0,0,0,
8,bus,0.947,1,1382,87,1919,461,,0.0,0,0,0,0,
8,car,0.839,2,1313,313,1388,367,,0.0,0,0,0,0,
8,car,0.544,4,1229,321,1275,345,,0.0,0,0,0,0,
9,bus,0.943,1,1381,92,1919,459,,0.0,0,0,0,0,
9,car,0.85,2,1312,314,1387,367,,0.0,0,0,0,0,
9,car,0.564,4,1229,321,1274,344,,0.0,0,0,0,0,
10,bus,0.938,1,1379,96,1919,457,,0.0,0,0,0,0,
10,car,0.824,2,1312,313,1384,367,,0.0,0,0,0,0,
10,car,0.609,4,1228,321,1272,344,,0.0,0,0,0,0,
11,bus,0.945,1,1377,100,1918,457,,0.0,0,0,0,0,
11,car,0.848,2,1312,314,1381,367,,0.0,0,0,0,0,
11,car,0.646,4,1227,319,1271,344,,0.0,0,0,0,0,
12,bus,0.949,1,1375,104,1913,454,,0.0,0,0,0,0,
12,car,0.851,2,1312,314,1380,368,,0.0,0,0,0,0,
12,car,0.591,4,1228,319,1269,344,,0.0,0,0,0,0,
13,bus,0.946,1,1375,107,1900,453,,0.0,0,0,0,0,
13,car,0.842,2,1312,314,1379,368,,0.0,0,0,0,0,
13,car,0.584,4,1228,319,1268,344,,0.0,0,0,0,0,
14,bus,0.941,1,1373,110,1886,454,,0.0,0,0,0,0,
14,car,0.839,2,1312,315,1378,368,,0.0,0,0,0,0,
14,car,0.592,4,1228,318,1268,344,,0.0,0,0,0,0,
15,bus,0.945,1,1371,114,1871,451,,0.0,0,0,0,0,
15,car,0.836,2,1311,315,1378,367,,0.0,0,0,0,0,
15,car,0.643,4,1227,317,1267,345,,0.0,0,0,0,0,
15,person,0.591,5,998,295,1031,374,,0.0,0,0,0,0,
16,bus,0.944,1,1370,116,1863,449,,0.0,0,0,0,0,
16,car,0.834,2,1310,315,1376,367,,0.0,0,0,0,0,
16,car,0.668,4,1225,318,1267,345,,0.0,0,0,0,0,
16,person,0.558,5,999,296,1031,374,,0.0,0,0,0,0,
17,bus,0.947,1,1368,119,1848,447,,0.0,0,0,0,0,
17,car,0.838,2,1310,314,1374,367,,0.0,0,0,0,0,
17,car,0.639,4,1225,318,1266,345,,0.0,0,0,0,0,
17,person,0.543,5,1002,297,1032,374,,0.0,0,0,0,0,
18,bus,0.944,1,1365,122,1837,444,,0.0,0,0,0,0,
18,car,0.831,2,1309,315,1373,367,,0.0,0,0,0,0,
18,car,0.62,4,1225,317,1265,345,,0.0,0,0,0,0,
18,person,0.438,5,1004,301,1032,373,,0.0,0,0,0,0,
19,bus,0.946,1,1364,126,1823,442,,0.0,0,0,0,0,
19,car,0.819,2,1309,315,1372,366,,0.0,0,0,0,0,
19,car,0.517,4,1225,317,1264,344,,0.0,0,0,0,0,
19,person,0.433,5,1005,309,1032,374,,0.0,0,0,0,0,
20,bus,0.945,1,1364,128,1812,441,,0.0,0,0,0,0,
20,car,0.815,2,1308,315,1371,365,,0.0,0,0,0,0,
20,car,0.544,4,1225,317,1263,344,,0.0,0,0,0,0,
20,person,0.473,5,1005,310,1032,373,,0.0,0,0,0,0,
21,bus,0.941,1,1364,130,1803,439,,0.0,0,0,0,0,
21,car,0.82,2,1308,315,1370,365,,0.0,0,0,0,0,
21,car,0.566,4,1224,318,1263,344,,0.0,0,0,0,0,
21,person,0.494,5,1006,306,1032,373,,0.0,0,0,0,0,
22,bus,0.941,1,1363,134,1790,438,,0.0,0,0,0,0,
22,car,0.823,2,1308,315,1369,364,,0.0,0,0,0,0,
22,car,0.58,4,1222,319,1263,344,,0.0,0,0,0,0,
23,bus,0.936,1,1362,136,1780,438,,0.0,0,0,0,0,
23,car,0.827,2,1307,314,1368,363,,0.0,0,0,0,0,
23,car,0.536,4,1221,322,1262,344,,0.0,0,0,0,0,
24,bus,0.936,1,1361,139,1773,436,,0.0,0,0,0,0,
24,car,0.843,2,1307,314,1367,363,,0.0,0,0,0,0,
24,car,0.522,4,1221,321,1262,344,,0.0,0,0,0,0,
25,bus,0.934,1,1362,141,1769,435,,0.0,0,0,0,0,
25,car,0.837,2,1307,313,1366,363,,0.0,0,0,0,0,
25,car,0.481,4,1221,323,1261,345,,0.0,0,0,0,0,
25,person,0.452,5,1011,313,1034,369,,0.0,0,0,0,0,
26,bus,0.931,1,1361,144,1755,434,,0.0,0,0,0,0,
26,car,0.835,2,1307,313,1364,363,,0.0,0,0,0,0,
26,car,0.461,4,1222,324,1261,345,,0.0,0,0,0,0,
27,bus,0.947,1,1359,147,1742,430,,0.0,0,0,0,0,
27,car,0.829,2,1306,313,1362,364,,0.0,0,0,0,0,
27,car,0.482,4,1223,325,1261,345,,0.0,0,0,0,0,
28,bus,0.95,1,1358,150,1736,428,,0.0,0,0,0,0,
28,car,0.815,2,1307,313,1361,363,,0.0,0,0,0,0,
28,car,0.504,4,1222,325,1261,345,,0.0,0,0,0,0,
29,bus,0.943,1,1357,152,1727,428,,0.0,0,0,0,0,
29,car,0.806,2,1306,312,1361,363,,0.0,0,0,0,0,
29,car,0.495,4,1223,326,1261,345,,0.0,0,0,0,0,
