Frame,Tiempo,EasyOCR,Tesseract,CRNN_Custom
781,00:00:31.240,0713LC,,0
782,00:00:31.280,E7,,0
784,00:00:31.360,EF,,0
785,00:00:31.400,EE,,0
785,00:00:31.400,272,,0
786,00:00:31.440,EE,,0
787,00:00:31.480,EE,,0
788,00:00:31.520,EE,,0
789,00:00:31.560,EE,,0
790,00:00:31.600,E,,0
791,00:00:31.640,EE,,0
792,00:00:31.680,E,,0
794,00:00:31.760,Z,,0
795,00:00:31.800,ZI,,0
796,00:00:31.840,Z2,,0
797,00:00:31.880,,,0
798,00:00:31.920,I3,,0
799,00:00:31.960,,,0
800,00:00:32.000,,,0
801,00:00:32.040,,,0
802,00:00:32.080,,,0
804,00:00:32.160,,,0
910,00:00:36.400,,,0
917,00:00:36.680,,,0
1044,00:00:41.760,MT,,0
1045,00:00:41.800,Q,,0
1047,00:00:41.880,Q,,0
1048,00:00:41.920,QG,,0
1049,00:00:41.960,45,,0
1050,00:00:42.000,,,0
1051,00:00:42.040,,,0
1052,00:00:42.080,,,0
1053,00:00:42.120,,,0
1054,00:00:42.160,,,0
1055,00:00:42.200,,,0
1056,00:00:42.240,,,0
1057,00:00:42.280,,,0
1058,00:00:42.320,,,0
1059,00:00:42.360,,,0
1060,00:00:42.400,,,0
1061,00:00:42.440,,,0
1062,00:00:42.480,,,0
1063,00:00:42.520,,,0
1064,00:00:42.560,,,0
1362,00:00:54.480,TE,,0
1364,00:00:54.560,,,0
1365,00:00:54.600,12,,0
1370,00:00:54.800,,,0
1371,00:00:54.840,,,0
1372,00:00:54.880,,,0
1373,00:00:54.920,,,0
1426,00:00:57.040,,,0
1428,00:00:57.120,,,0
1430,00:00:57.200,,,0
1434,00:00:57.360,,,0
1467,00:00:58.680,497,,0
1468,00:00:58.720,G,,0
1469,00:00:58.760,4,,0
1470,00:00:58.800,,,0
1471,00:00:58.840,4,,0
1471,00:00:58.840,,,0
1472,00:00:58.880,,,0
1473,00:00:58.920,,,0
1474,00:00:58.960,,,0
1475,00:00:59.000,,,0
1476,00:00:59.040,,,0
1477,00:00:59.080,,,0
1478,00:00:59.120,,,0
1574,00:01:02.960,,,0
1596,00:01:03.840,,,0
1651,00:01:06.040,,,0
1652,00:01:06.080,,,0
1655,00:01:06.200,,,0
1656,00:01:06.240,,,0
1657,00:01:06.280,,,0
1658,00:01:06.320,,,0
1659,00:01:06.360,,,0
1671,00:01:06.840,QL,,0
1672,00:01:06.880,36854V,,0
1673,00:01:06.920,868SKOV,,0
1674,00:01:06.960,368S4,,0
1676,00:01:07.040,BEE5KM,,0
1677,00:01:07.080,EBK,,0
1678,00:01:07.120,E,,0
1679,00:01:07.160,6,,0
1680,00:01:07.200,E,,0
1681,00:01:07.240,E,,0
1682,00:01:07.280,,,0
1683,00:01:07.320,E,,0
1684,00:01:07.360,,,0
1685,00:01:07.400,E,,0
1686,00:01:07.440,,,0
1687,00:01:07.480,,,0
1688,00:01:07.520,,,0
1689,00:01:07.560,,,0
1690,00:01:07.600,,,0
1691,00:01:07.640,,,0
1717,00:01:08.680,,,0
1720,00:01:08.800,,,0
1725,00:01:09.000,,,0
1726,00:01:09.040,,,0
1727,00:01:09.080,,,0
1792,00:01:11.680,EE,,0
1793,00:01:11.720,EF4,,0
1794,00:01:11.760,EEN,,0
1795,00:01:11.800,BE,,0
1796,00:01:11.840,ET,,0
1797,00:01:11.880,E,,0
1798,00:01:11.920,ET,,0
1799,00:01:11.960,,,0
1800,00:01:12.000,,,0
1800,00:01:12.000,C4,,0
1801,00:01:12.040,,,0
1802,00:01:12.080,,,0
1803,00:01:12.120,,,0
1804,00:01:12.160,,,0
1805,00:01:12.200,,,0
1806,00:01:12.240,,,0
1807,00:01:12.280,,,0
1808,00:01:12.320,,,0
1809,00:01:12.360,,,0
1810,00:01:12.400,,,0
1811,00:01:12.440,,,0
1925,00:01:17.000,,,0
1927,00:01:17.080,,,0
1928,00:01:17.120,,,0
1929,00:01:17.160,,,0
1930,00:01:17.200,,,0
1931,00:01:17.240,,,0
1932,00:01:17.280,,,0
1933,00:01:17.320,,,0
1934,00:01:17.360,,,0
1935,00:01:17.400,,,0
2124,00:01:24.960,1772O,,0
2125,00:01:25.000,172VYG,,0
2128,00:01:25.120,T770,,0
2129,00:01:25.160,M7200,,0
2130,00:01:25.200,T770D,,0
2131,00:01:25.240,1775YG,,0
2132,00:01:25.280,T77TYG,,0
2133,00:01:25.320,1770JYQ,,0
2134,00:01:25.360,TTO,,0
2135,00:01:25.400,17TID,,0
2136,00:01:25.440,177JTG,,0
2137,00:01:25.480,TDT,,0
2138,00:01:25.520,TTD,,0
2138,00:01:25.520,IID,,0
2139,00:01:25.560,1D7,,0
2140,00:01:25.600,TT,,0
2141,00:01:25.640,IT,,0
2142,00:01:25.680,VT,,0
2143,00:01:25.720,TO,,0
2144,00:01:25.760,TD,,0
2145,00:01:25.800,G,,0
2146,00:01:25.840,17,,0
2147,00:01:25.880,TE,,0
2148,00:01:25.920,TG,,0
2149,00:01:25.960,42,,0
2352,00:01:34.080,EI,,0
2353,00:01:34.120,E2,,0
2354,00:01:34.160,6,,0
2356,00:01:34.240,,,0
2357,00:01:34.280,,,0
2358,00:01:34.320,22,,0
2359,00:01:34.360,,,0
2360,00:01:34.400,,,0
2361,00:01:34.440,,,0
2362,00:01:34.480,,,0
2615,00:01:44.600,,,0
2615,00:01:44.600,,,0
2616,00:01:44.640,196SKBP,,0
2616,00:01:44.640,09SKBP,,0
2616,00:01:44.640,,,0
2617,00:01:44.680,196S0BQ,,0
2617,00:01:44.680,1965KBP,,0
2618,00:01:44.720,196SKBP,,0
2618,00:01:44.720,19651BP,,0
2619,00:01:44.760,196SKBP,,0
2619,00:01:44.760,196SKBPI,,0
2620,00:01:44.800,196SKBPI,,0
2621,00:01:44.840,196SKBP,,0
2621,00:01:44.840,196SKBP,,0
2622,00:01:44.880,196SKBR,,0
2623,00:01:44.920,096SKBP,,0
2624,00:01:44.960,1965KBP,,0
2625,00:01:45.000,1965KBP,,0
2626,00:01:45.040,1965KBP,,0
2627,00:01:45.080,1965KBP,,0
2628,00:01:45.120,1965KBP,,0
2628,00:01:45.120,,,0
2629,00:01:45.160,1965KBP,,0
2629,00:01:45.160,,,0
2630,00:01:45.200,1965KBP,,0
2631,00:01:45.240,1965KBP,,0
2632,00:01:45.280,0965KBP,,0
2633,00:01:45.320,1965KBP,,0
2634,00:01:45.360,1965KBP,,0
2635,00:01:45.400,1965KEP,,0
2636,00:01:45.440,19654BP,,0
2637,00:01:45.480,1965429,,0
2638,00:01:45.520,16579,,0
2639,00:01:45.560,8254,,0
2640,00:01:45.600,1,,0
2641,00:01:45.640,,,0
