fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matricula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
0,bus,0.936,1,1402,52,1918,476,,0.0,0,0,0,0,
0,car,0.843,2,1321,312,1398,371,,0.0,0,0,0,0,
0,car,0.491,3,1231,313,1279,343,,0.0,0,0,0,0,
1,bus,0.933,1,1402,56,1918,471,,0.0,0,0,0,0,
1,car,0.815,2,1321,312,1397,371,,0.0,0,0,0,0,
1,car,0.478,3,1231,313,1279,342,,0.0,0,0,0,0,
2,bus,0.936,1,1395,63,1918,467,,0.0,0,0,0,0,
2,car,0.818,2,1320,312,1395,371,,0.0,0,0,0,0,
2,car,0.444,3,1230,313,1278,342,,0.0,0,0,0,0,
3,bus,0.9,1,1389,67,1918,466,,0.0,0,0,0,0,
3,car,0.838,2,1318,312,1395,371,,0.0,0,0,0,0,
3,car,0.485,3,1230,314,1278,342,,0.0,0,0,0,0,
4,bus,0.93,1,1390,72,1918,464,,0.0,0,0,0,0,
4,car,0.817,2,1316,312,1394,371,,0.0,0,0,0,0,
4,car,0.452,3,1232,314,1279,343,,0.0,0,0,0,0,
5,bus,0.935,1,1392,76,1918,462,,0.0,0,0,0,0,
5,car,0.808,2,1316,312,1392,370,,0.0,0,0,0,0,
5,car,0.408,3,1232,313,1278,342,,0.0,0,0,0,0,
6,bus,0.934,1,1391,79,1918,461,,0.0,0,0,0,0,
6,car,0.796,2,1316,312,1390,370,,0.0,0,0,0,0,
6,car,0.452,3,1232,314,1277,343,,0.0,0,0,0,0,
7,bus,0.935,1,1388,84,1918,458,,0.0,0,0,0,0,
7,car,0.787,2,1314,312,1389,369,,0.0,0,0,0,0,
7,car,0.436,3,1230,314,1275,343,,0.0,0,0,0,0,
8,bus,0.937,1,1386,88,1918,457,,0.0,0,0,0,0,
8,car,0.781,2,1313,312,1387,368,,0.0,0,0,0,0,
8,car,0.425,3,1229,315,1274,343,,0.0,0,0,0,0,
9,bus,0.941,1,1383,92,1918,457,,0.0,0,0,0,0,
9,car,0.805,2,1311,312,1386,368,,0.0,0,0,0,0,
9,car,0.419,3,1229,315,1272,343,,0.0,0,0,0,0,
10,bus,0.937,1,1382,96,1918,456,,0.0,0,0,0,0,
10,car,0.802,2,1310,312,1385,367,,0.0,0,0,0,0,
10,car,0.403,3,1228,315,1270,343,,0.0,0,0,0,0,
11,bus,0.927,1,1382,97,1918,455,,0.0,0,0,0,0,
11,car,0.783,2,1309,312,1384,368,,0.0,0,0,0,0,
11,car,0.409,3,1228,315,1269,343,,0.0,0,0,0,0,
12,bus,0.932,1,1382,101,1915,453,,0.0,0,0,0,0,
12,car,0.788,2,1309,312,1382,368,,0.0,0,0,0,0,
13,bus,0.928,1,1381,104,1903,451,,0.0,0,0,0,0,
13,car,0.794,2,1309,312,1380,368,,0.0,0,0,0,0,
14,bus,0.919,1,1380,107,1889,451,,0.0,0,0,0,0,
14,car,0.778,2,1309,312,1378,368,,0.0,0,0,0,0,
15,bus,0.925,1,1378,111,1872,450,,0.0,0,0,0,0,
15,car,0.775,2,1308,312,1375,367,,0.0,0,0,0,0,
16,bus,0.92,1,1376,114,1866,449,,0.0,0,0,0,0,
16,car,0.782,2,1308,313,1374,367,,0.0,0,0,0,0,
17,bus,0.909,1,1376,117,1858,450,,0.0,0,0,0,0,
17,car,0.776,2,1308,313,1373,366,,0.0,0,0,0,0,
18,bus,0.915,1,1375,121,1840,448,,0.0,0,0,0,0,
18,car,0.77,2,1308,313,1372,367,,0.0,0,0,0,0,
19,bus,0.925,1,1374,125,1826,446,,0.0,0,0,0,0,
19,car,0.784,2,1308,314,1370,367,,0.0,0,0,0,0,
20,bus,0.919,1,1372,127,1816,444,,0.0,0,0,0,0,
20,car,0.753,2,1308,313,1369,368,,0.0,0,0,0,0,
21,bus,0.919,1,1371,132,1809,442,,0.0,0,0,0,0,
21,car,0.73,2,1308,313,1368,368,,0.0,0,0,0,0,
22,bus,0.915,1,1369,135,1808,442,,0.0,0,0,0,0,
22,car,0.741,2,1308,313,1366,367,,0.0,0,0,0,0,
23,bus,0.905,1,1369,140,1804,441,,0.0,0,0,0,0,
23,car,0.716,2,1308,313,1366,366,,0.0,0,0,0,0,
23,car,0.408,3,1225,318,1261,341,,0.0,0,0,0,0,
24,bus,0.888,1,1368,142,1787,441,,0.0,0,0,0,0,
24,car,0.704,2,1308,312,1366,366,,0.0,0,0,0,0,
24,car,0.464,3,1225,318,1261,342,,0.0,0,0,0,0,
25,bus,0.905,1,1367,143,1771,441,,0.0,0,0,0,0,
25,car,0.707,2,1308,312,1365,366,,0.0,0,0,0,0,
25,car,0.443,3,1225,318,1261,342,,0.0,0,0,0,0,
26,bus,0.898,1,1366,145,1760,440,,0.0,0,0,0,0,
26,car,0.687,2,1308,311,1365,365,,0.0,0,0,0,0,
26,car,0.45,3,1224,318,1261,342,,0.0,0,0,0,0,
27,bus,0.899,1,1364,148,1745,437,,0.0,0,0,0,0,
27,car,0.673,2,1308,310,1364,366,,0.0,0,0,0,0,
27,car,0.432,3,1224,318,1261,342,,0.0,0,0,0,0,
28,bus,0.902,1,1363,150,1736,436,,0.0,0,0,0,0,
28,car,0.65,2,1307,309,1364,365,,0.0,0,0,0,0,
