Frame,Tiempo,EasyOCR,CRNN_Custom
779,00:00:31.160,EZLQ,10MZ
780,00:00:31.200,EZLO,10MZ
781,00:00:31.240,E7134,10MZ
784,00:00:31.360,EEL,10MZ
785,00:00:31.400,EEC,10MZ
785,00:00:31.400,,10MZ
786,00:00:31.440,EE,10MZ
787,00:00:31.480,EE,10MZ
788,00:00:31.520,EE,10MZ
789,00:00:31.560,E,10MZ
790,00:00:31.600,E,10MZ
791,00:00:31.640,EE,10MZ
792,00:00:31.680,E,10MZ
794,00:00:31.760,ZC,10MZ
795,00:00:31.800,Z,10MZ
796,00:00:31.840,427,10MZ
797,00:00:31.880,21,10MZ
798,00:00:31.920,,10MZ
799,00:00:31.960,,10MZ
800,00:00:32.000,,10MZ
801,00:00:32.040,,10MZ
802,00:00:32.080,,10MZ
917,00:00:36.680,,10MZ
1044,00:00:41.760,,10MZ
1047,00:00:41.880,Q,10MZ
1048,00:00:41.920,Q,10MZ
1049,00:00:41.960,B23,10MZ
1050,00:00:42.000,,10MZ
1051,00:00:42.040,,10MZ
1052,00:00:42.080,,10MZ
1053,00:00:42.120,,10MZ
1054,00:00:42.160,,10MZ
1055,00:00:42.200,,10MZ
1056,00:00:42.240,,10MZ
1057,00:00:42.280,,10MZ
1058,00:00:42.320,,10MZ
1059,00:00:42.360,,10MZ
1060,00:00:42.400,,10MZ
1062,00:00:42.480,,10MZ
1358,00:00:54.320,Z1FE,10MZ
1359,00:00:54.360,,10MZ
1362,00:00:54.480,,10MZ
1363,00:00:54.520,ZT,10MZ
1364,00:00:54.560,212,10MZ
1365,00:00:54.600,22183,10MZ
1366,00:00:54.640,,10MZ
1368,00:00:54.720,,10MZ
1371,00:00:54.840,,10MZ
1372,00:00:54.880,,10MZ
1426,00:00:57.040,,10MZ
1460,00:00:58.400,005,10MZ
1469,00:00:58.760,5,10MZ
1470,00:00:58.800,,10MZ
1471,00:00:58.840,,10MZ
1472,00:00:58.880,,10MZ
1473,00:00:58.920,,10MZ
1474,00:00:58.960,,10MZ
1475,00:00:59.000,,10MZ
1476,00:00:59.040,,10MZ
1477,00:00:59.080,,10MZ
1478,00:00:59.120,,10MZ
1574,00:01:02.960,G,10MZ
1577,00:01:03.080,,10MZ
1579,00:01:03.160,,10MZ
1651,00:01:06.040,,10MZ
1671,00:01:06.840,E685,10MZ
1672,00:01:06.880,8665,10MZ
1673,00:01:06.920,3685K,10MZ
1674,00:01:06.960,368SLV,10MZ
1676,00:01:07.040,8605,10MZ
1677,00:01:07.080,8685,10MZ
1678,00:01:07.120,B,10MZ
1679,00:01:07.160,6685KV,10MZ
1680,00:01:07.200,E,10MZ
1681,00:01:07.240,,10MZ
1682,00:01:07.280,E,10MZ
1683,00:01:07.320,E,10MZ
1684,00:01:07.360,,10MZ
1685,00:01:07.400,,10MZ
1686,00:01:07.440,,10MZ
1687,00:01:07.480,,10MZ
1688,00:01:07.520,,10MZ
1690,00:01:07.600,,10MZ
1691,00:01:07.640,,10MZ
1717,00:01:08.680,,10MZ
1792,00:01:11.680,ET,10MZ
1793,00:01:11.720,ES264,10MZ
1796,00:01:11.840,ET,10MZ
1797,00:01:11.880,E,10MZ
1798,00:01:11.920,E,10MZ
1799,00:01:11.960,E,10MZ
1800,00:01:12.000,H,10MZ
1801,00:01:12.040,,10MZ
1802,00:01:12.080,,10MZ
1803,00:01:12.120,,10MZ
1804,00:01:12.160,,10MZ
1806,00:01:12.240,,10MZ
1807,00:01:12.280,,10MZ
1808,00:01:12.320,,10MZ
1809,00:01:12.360,,10MZ
1810,00:01:12.400,,0MZ
1811,00:01:12.440,,10MZ
1925,00:01:17.000,,10MZ
1926,00:01:17.040,,10MZ
1927,00:01:17.080,,10MZ
1928,00:01:17.120,,10MZ
1929,00:01:17.160,,10MZ
1930,00:01:17.200,,10MZ
1931,00:01:17.240,,10MZ
1933,00:01:17.320,,10MZ
2127,00:01:25.080,I770,10MZ
2128,00:01:25.120,T770,10MZ
2129,00:01:25.160,T7700,10MZ
2130,00:01:25.200,T77D,10MZ
2131,00:01:25.240,1775YG,10MZ
2132,00:01:25.280,177UYG,10MZ
2133,00:01:25.320,1770O,10MZ
2134,00:01:25.360,TTO,10MZ
2135,00:01:25.400,177IT,10MZ
2136,00:01:25.440,1770D,10MZ
2137,00:01:25.480,VTJT,10MZ
2138,00:01:25.520,IID,10MZ
2139,00:01:25.560,17T,10MZ
2140,00:01:25.600,TT,10MZ
2141,00:01:25.640,17D,10MZ
2142,00:01:25.680,TD,10MZ
2143,00:01:25.720,I,10MZ
2144,00:01:25.760,GG,10MZ
2145,00:01:25.800,VG,10MZ
2146,00:01:25.840,2,10MZ
2147,00:01:25.880,UYE,10MZ
2148,00:01:25.920,12,0MZ
2149,00:01:25.960,2,0MZ
2348,00:01:33.920,2098,50MZ
2349,00:01:33.960,8098,150MZ
2352,00:01:34.080,02,10MZ
2353,00:01:34.120,6223,150MZ
2354,00:01:34.160,,150MZ
2356,00:01:34.240,0,150MZ
2357,00:01:34.280,,10MZ
2358,00:01:34.320,,150MZ
2359,00:01:34.360,,150MZ
2360,00:01:34.400,,10MZ
2361,00:01:34.440,,10MZ
2608,00:01:44.320,196SLEP,10MZ
2609,00:01:44.360,196S1P,10MZ
2615,00:01:44.600,196SKBP,10MZ
